query_name	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931719_Streptococcus_pneumoniae_strain_Eddy_nr._73_serotype_46.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931658_Streptococcus_pneumoniae_strain_559_66_serotype_12a.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931659_Streptococcus_pneumoniae_strain_Gambia_1_81_serotype_12b.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931660_Streptococcus_pneumoniae_strain_6312_serotype_12f.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931717_Streptococcus_pneumoniae_strain_Hammer_serotype_44.fa
190	1	1	0	0	0
191	1	1	0	0	0
192	1	1	1	1	1
193	1	0	1	1	1
194	1	0	0	0	0
195	1	1	1	1	1
196	1	1	0	0	0
197	1	1	1	1	1
198	1	1	0	0	0
199	1	1	1	1	1
200	1	1	0	0	0
201	1	1	1	1	1
202	1	1	0	0	0
203	1	1	1	1	1
204	1	1	0	0	0
205	1	1	1	1	1
206	1	1	1	0	0
207	1	1	1	1	1
208	1	1	1	0	1
209	1	1	1	1	1
210	1	1	0	0	0
211	1	1	1	1	1
212	1	0	0	0	0
213	1	1	1	1	1
214	1	0	0	0	0
215	1	0	1	1	1
216	1	1	1	1	1
217	1	0	0	0	0
218	1	1	1	1	1
219	1	0	1	1	1
220	1	1	1	1	1
221	1	0	0	0	0
222	1	1	1	1	1
223	1	0	0	0	0
224	1	1	1	1	1
225	1	0	0	0	0
226	1	1	1	1	1
227	1	0	0	0	0
228	1	1	1	0	1
229	1	1	1	1	1
230	1	0	0	0	0
231	1	1	1	1	1
232	1	0	0	0	0
233	1	1	1	1	1
234	1	0	0	0	0
235	1	1	1	1	1
236	1	0	0	0	0
237	1	1	1	1	1
238	1	0	0	0	1
239	1	1	1	0	1
240	1	1	1	1	1
241	1	1	1	1	0
242	1	0	0	0	0
243	1	0	0	0	1
244	1	1	1	1	1
245	1	0	1	1	1
246	1	1	1	1	1
247	1	1	1	1	0
248	1	1	1	1	1
249	1	0	0	0	0
250	1	1	1	1	1
251	1	0	0	0	1
252	1	1	1	1	1
253	1	1	1	1	0
254	1	0	0	0	1
255	1	1	1	1	1
256	1	1	0	0	1
257	1	1	1	1	1
258	0	0	0	0	1
259	1	1	0	0	1
260	1	1	1	0	1
261	1	1	1	1	1
262	1	1	0	0	1
263	0	0	0	0	1
264	1	1	1	1	1
265	1	1	0	1	1
266	1	1	0	0	1
267	1	1	1	1	1
268	1	1	0	0	1
269	1	1	1	1	1
270	1	1	0	1	1
271	1	1	1	1	1
272	1	1	0	0	0
273	1	1	1	1	1
274	0	0	0	0	1
275	1	1	0	0	0
276	1	1	1	1	1
277	0	0	0	0	1
278	1	1	1	0	1
279	1	1	1	1	1
280	1	1	1	1	0
281	1	1	1	1	1
282	1	1	0	1	1
283	1	1	1	1	1
284	1	1	1	1	0
285	1	1	1	1	1
286	0	0	0	0	1
287	1	0	0	0	0
288	1	1	1	1	1
289	1	1	0	0	0
290	1	1	1	1	1
291	1	1	0	0	0
292	1	1	1	1	0
293	1	1	1	1	1
294	1	1	0	0	0
295	1	1	1	1	1
296	1	1	0	1	1
297	1	1	1	1	1
298	1	1	0	0	0
299	1	1	1	1	1
300	1	0	1	1	1
301	1	0	0	0	0
302	1	1	0	0	0
303	1	1	1	1	1
304	1	1	1	0	0
305	1	1	1	1	1
306	1	1	0	0	0
307	1	1	1	1	1
308	1	1	0	0	0
309	1	1	1	1	1
310	1	1	0	1	1
311	1	1	1	1	1
312	1	1	0	1	1
313	1	1	0	0	0
314	1	1	1	1	1
315	1	1	0	1	1
316	1	1	0	0	1
317	1	1	1	0	1
318	1	1	0	1	1
319	1	1	1	1	1
320	1	1	1	1	0
321	1	1	1	1	1
322	1	1	1	1	0
323	1	1	0	1	0
324	1	1	0	1	1
325	1	1	0	0	0
326	1	1	0	0	0
327	1	1	0	1	1
328	1	1	0	1	1
329	1	1	1	1	1
330	1	1	0	1	1
331	1	1	0	0	0
332	1	1	0	1	1
333	1	1	0	0	0
334	1	1	1	0	0
335	1	1	1	1	1
336	1	1	1	0	0
337	1	1	1	1	1
338	1	1	0	0	0
339	1	1	1	1	1
340	1	1	0	0	0
341	1	1	1	1	1
342	1	1	0	0	0
343	1	1	1	1	1
344	1	1	1	0	1
345	1	1	1	0	1
346	1	1	1	1	1
347	1	1	0	1	0
348	1	1	0	0	0
349	1	1	1	0	0
350	1	1	0	0	0
351	1	1	1	1	1
352	1	1	1	0	1
353	1	1	0	0	0
354	1	1	0	0	1
355	1	1	1	0	1
356	1	1	0	0	0
357	1	1	0	1	0
358	1	1	0	0	0
359	1	1	1	1	1
360	1	1	0	1	0
361	1	0	0	0	0
362	1	1	0	0	0
363	1	1	0	1	0
364	1	1	1	1	1
365	1	1	0	0	0
366	1	1	0	1	1
367	1	1	0	0	0
368	1	1	1	0	0
369	0	0	0	1	1
370	1	1	1	1	1
371	1	0	1	1	1
372	1	0	0	1	1
373	1	0	0	0	1
374	1	1	0	0	1
375	1	0	0	0	0
376	1	1	0	0	1
377	0	1	0	0	0
378	0	1	1	1	0
379	0	1	0	0	0
380	0	1	0	0	0
381	0	1	1	1	0
382	0	1	0	0	0
383	0	1	0	0	0
384	0	1	0	0	0
385	0	1	0	0	0
386	0	1	1	0	0
387	0	1	0	0	0
388	0	1	0	0	0
389	0	1	0	0	0
390	0	1	0	0	0
391	0	1	0	1	0
392	0	1	0	1	0
393	0	1	0	0	0
394	0	1	1	0	1
395	0	1	1	0	0
396	0	1	1	1	0
397	0	1	1	0	0
398	0	1	1	0	1
399	0	1	0	0	0
400	0	1	0	0	0
401	0	1	0	0	0
402	0	1	0	1	1
403	0	1	0	0	0
404	0	1	0	0	0
405	0	1	0	0	0
406	0	1	1	1	1
407	0	1	0	0	0
408	0	1	0	0	0
409	0	1	1	1	1
410	0	1	1	1	1
411	0	1	1	1	1
412	0	1	0	0	0
413	0	1	1	1	1
414	0	1	0	0	0
415	0	1	1	1	1
416	0	1	1	1	1
417	0	1	1	1	1
418	0	1	1	1	1
419	0	1	1	0	1
420	0	1	1	1	1
421	0	1	1	1	1
422	0	1	1	1	1
423	0	1	1	1	1
424	0	1	1	1	0
425	0	1	1	0	0
426	0	1	1	1	0
427	0	1	0	0	0
428	0	1	1	1	1
429	0	1	1	1	0
430	0	1	1	1	0
431	0	1	1	1	0
432	0	1	1	1	1
433	0	1	0	0	0
434	0	1	0	1	0
435	0	1	0	0	0
436	0	1	0	0	0
437	0	1	0	0	1
438	0	0	1	1	0
439	0	0	1	1	0
440	0	0	1	1	0
441	0	0	1	1	0
442	0	0	1	1	0
443	0	0	1	1	1
444	0	0	1	1	0
445	0	0	1	0	0
446	0	0	1	0	0
447	0	0	1	0	0
448	0	0	1	0	0
449	0	0	1	0	0
450	0	0	1	0	1
451	0	0	1	0	1
452	0	0	1	0	0
453	0	0	1	1	0
454	0	0	1	1	1
455	0	0	1	1	1
456	0	0	1	0	0
457	0	0	1	0	0
458	0	0	1	0	0
459	0	0	1	0	0
460	0	0	1	1	1
461	0	0	1	1	1
462	0	0	1	0	0
463	0	0	1	1	1
464	0	0	1	0	0
465	0	0	1	0	0
466	0	0	1	1	1
467	0	0	1	1	1
468	0	0	1	0	1
469	0	0	1	1	0
470	0	0	1	1	1
471	0	0	1	1	1
472	0	0	1	1	0
473	0	0	1	1	0
474	0	0	1	0	0
475	0	0	1	0	0
476	0	0	1	1	1
477	0	0	1	1	1
478	0	0	1	0	0
479	0	0	1	1	1
480	0	0	1	1	1
481	0	0	1	0	0
482	0	0	1	1	1
483	0	0	1	0	0
484	0	0	1	1	1
485	0	0	1	1	1
486	0	0	1	1	1
487	0	0	1	1	1
488	0	0	1	1	1
489	0	0	1	1	1
490	0	0	1	1	1
491	0	0	1	0	0
492	0	0	1	1	1
493	0	0	1	0	0
494	0	0	1	1	1
495	0	0	1	1	1
496	0	0	1	1	1
497	0	0	1	1	1
498	0	0	1	1	1
499	0	0	1	1	1
500	0	0	1	1	1
501	0	0	1	1	1
502	0	0	1	1	1
503	0	0	1	1	1
504	0	0	1	1	1
505	0	0	1	1	1
506	0	0	1	1	1
507	0	0	1	1	1
508	0	0	1	1	1
509	0	0	1	1	1
510	0	0	1	1	1
511	0	0	1	1	1
512	0	0	1	1	1
513	0	0	1	1	1
514	0	0	1	1	1
515	0	0	1	1	1
516	0	0	1	1	1
517	0	0	1	1	0
518	0	0	1	1	0
519	0	0	1	0	0
520	0	0	1	1	0
521	0	0	1	0	0
522	0	0	1	1	0
523	0	0	1	1	0
524	0	0	1	0	0
525	0	0	1	1	1
526	0	0	1	1	1
527	0	0	1	0	0
528	0	0	1	1	1
529	0	0	1	1	1
530	0	0	1	1	0
531	0	0	1	1	1
532	0	0	1	0	0
533	0	0	1	1	1
534	0	0	1	1	1
535	0	0	1	1	1
536	0	0	1	1	1
537	0	0	1	0	0
538	0	0	1	0	0
539	0	0	1	1	1
540	0	0	1	0	0
541	0	0	1	0	0
542	0	0	1	0	0
543	0	0	1	0	0
544	0	0	1	0	0
545	0	0	1	1	1
546	0	0	1	0	0
547	0	0	1	1	1
548	0	0	1	1	1
549	0	0	1	1	1
550	0	0	1	0	1
551	0	0	1	0	0
552	0	0	1	0	0
553	0	0	1	1	1
554	0	0	1	0	1
555	0	0	1	1	1
556	0	0	1	0	0
557	0	0	1	0	1
558	0	0	1	1	1
559	0	0	1	0	1
560	0	0	1	0	0
561	0	0	1	0	1
562	0	0	1	1	1
563	0	0	1	0	0
564	0	0	1	0	0
565	0	0	0	1	0
566	0	0	0	1	0
567	0	0	0	1	0
568	0	0	0	1	0
569	0	0	0	1	0
570	0	0	0	1	0
571	0	0	0	1	0
572	0	0	0	1	0
573	0	0	0	1	1
574	0	0	0	1	0
575	0	0	0	1	0
576	0	0	0	1	0
577	0	0	0	1	0
578	0	0	0	1	1
579	0	0	0	1	1
580	0	0	0	1	1
581	0	0	0	1	0
582	0	0	0	1	0
583	0	0	0	1	1
584	0	0	0	1	1
585	0	0	0	1	1
586	0	0	0	1	1
587	0	0	0	1	1
588	0	0	0	1	1
589	0	0	0	1	1
590	0	0	0	1	1
591	0	0	0	1	1
592	0	0	0	1	0
593	0	0	0	1	1
594	0	0	0	1	1
595	0	0	0	1	1
596	0	0	0	1	1
597	0	0	0	1	1
598	0	0	0	1	0
599	0	0	0	1	1
600	0	0	0	1	1
601	0	0	0	1	1
602	0	0	0	1	1
603	0	0	0	1	1
604	0	0	0	1	1
605	0	0	0	1	1
606	0	0	0	1	1
607	0	0	0	1	1
608	0	0	0	1	1
609	0	0	0	1	0
610	0	0	0	1	0
611	0	0	0	1	0
612	0	0	0	1	0
613	0	0	0	1	0
614	0	0	0	1	0
615	0	0	0	1	1
616	0	0	0	1	1
617	0	0	0	1	0
618	0	0	0	1	1
619	0	0	0	1	1
620	0	0	0	1	1
621	0	0	0	1	1
622	0	0	0	1	1
623	0	0	0	1	0
624	0	0	0	1	0
625	0	0	0	1	0
626	0	0	0	1	1
627	0	0	0	1	0
628	0	0	0	1	1
629	0	0	0	1	0
630	0	0	0	1	0
631	0	0	0	1	0
632	0	0	0	1	1
633	0	0	0	1	1
634	0	0	0	1	0
635	0	0	0	0	1
636	0	0	0	0	1
637	0	0	0	0	1
638	0	0	0	0	1
639	0	0	0	0	1
640	0	0	0	0	1
641	0	0	0	0	1
642	0	0	0	0	1
643	0	0	0	0	1
644	0	0	0	0	1
645	0	0	0	0	1
646	0	0	0	0	1
647	0	0	0	0	1
648	0	0	0	0	1
649	0	0	0	0	1
650	0	0	0	0	1
651	0	0	0	0	1
652	0	0	0	0	1
653	0	0	0	0	1
654	0	0	0	0	1
655	0	0	0	0	1
656	0	0	0	0	1
657	1	0	1	1	1
658	1	1	1	0	1
659	1	0	0	1	1
660	1	1	0	1	1
661	1	0	0	0	0
662	1	0	0	0	1
663	1	1	1	1	1
664	1	1	0	1	1
665	1	1	1	1	1
666	0	0	0	1	0
667	1	1	0	1	1
668	1	1	1	1	1
669	1	1	1	1	0
670	1	0	0	0	0
671	0	0	1	1	0
672	1	1	1	1	1
673	0	1	0	0	1
674	0	0	0	0	1
675	0	0	1	1	0
